,Global_Score_Lung,Selective_Score_Lung,Driver_Delta,Rank
INTS1 (26173),-0.9212502423140496,-0.9957743083333334,0.07452406601928374,136.0
RAD21 (5885),-1.506483250413223,-1.5808399416666665,0.07435669125344346,137.0
DUSP26 (78986),0.05449972735512396,-0.019758819,0.07425854635512397,138.0
NXN (64359),0.0596086324886281,-0.014645818239666665,0.07425445072829476,139.0
MED30 (90390),-2.030064057024793,-2.1043176916666666,0.0742536346418734,140.0
LPAR1 (1902),-0.06248027008264463,-0.13661681541666668,0.07413654533402204,141.0
PNPLA4 (8228),0.1652787649090909,0.09130532616666666,0.07397343874242425,142.0
LMO2 (4005),0.03975822697024793,-0.034078485,0.07383671197024794,143.0
TPI1 (7167),-0.8173595769421487,-0.8911590816666665,0.0737995047245178,144.0
OR4P4 (81300),0.03952889218181819,-0.03404485075,0.07357374293181819,145.0
CHAF1B (8208),-1.987037338016529,-2.0605384333333334,0.07350109531680449,146.0
MTOR (2475),-1.2481912057851243,-1.321429041666667,0.07323783588154265,147.0
NUP98 (4928),-0.9029794846280991,-0.9761845283333331,0.07320504370523406,148.0
CCNE1 (898),-0.203620683553719,-0.2767261275,0.07310544394628096,149.0
EXOC4 (60412),-0.3787354543801653,-0.4517125958333333,0.07297714145316797,150.0
ZEB1 (6935),-0.055193504678512396,-0.12807280350000003,0.07287929882148764,151.0
KNL1 (57082),-0.8992971649586776,-0.9720069824999998,0.07270981754132222,152.0
TFAP2A (7020),0.004997587364628098,-0.06761798316666666,0.07261557053129476,153.0
TAMM41 (132001),-0.8248877731404958,-0.8974196716666668,0.07253189852617103,154.0
POLE2 (5427),-1.700299461983471,-1.7725831,0.07228363801652904,155.0
TPR (7175),-1.1335256504132234,-1.2057822833333334,0.07225663292010998,156.0
CDC45 (8318),-2.371172242975207,-2.443313141666667,0.07214089869146001,157.0
CKAP5 (9793),-2.187502704132231,-2.259537275,0.07203457086776899,158.0
ACTR1A (10121),-0.8143103984297521,-0.8862196308333332,0.07190923240358116,159.0
CXCL5 (6374),0.08923423646198347,0.01758408565833333,0.07165015080365014,160.0
KCNMB2 (10242),0.2675797604958677,0.19601511000000002,0.07156465049586766,161.0
SNAP23 (8773),-0.867758781322314,-0.9391739166666665,0.07141513534435251,162.0
POU5F1B (5462),-0.08644525166115703,-0.15779962041666667,0.07135436875550964,163.0
RRP12 (23223),-1.378712643801653,-1.4497802499999999,0.07106760619834684,164.0
NSG2 (51617),0.22089026214876034,0.1498352025,0.07105505964876035,165.0
GTF3C1 (2975),-0.9312784989256199,-1.0021594225,0.07088092357438003,166.0
IGBP1 (3476),-1.515972595041322,-1.58675595,0.07078335495867782,167.0
UBE2H (7328),-0.4625940421487603,-0.5332660983333334,0.07067205618457306,168.0
FGA (2243),0.0648966319892562,-0.005757489941666667,0.07065412193092287,169.0
EIF3A (8661),-1.8398125388429751,-1.9103646416666666,0.07055210282369151,170.0
MRPS25 (64432),-0.452935415785124,-0.5234188,0.07048338421487599,171.0
PAF1 (54623),-0.8338488520661157,-0.9042437508333333,0.0703948987672176,172.0
